ticker,sector,industry
CWAN,Technology,Software - Application
CWBC,Financial Services,Banks - Regional
CWCO,Utilities,Utilities - Regulated Water
CWD,Financial Services,Asset Management
CWEN,Utilities,Utilities - Renewable
CWH,Consumer Cyclical,Auto & Truck Dealerships
CWK,Real Estate,Real Estate Services
CWST,Industrials,Waste Management
CWT,Utilities,Utilities - Regulated Water
CX,Basic Materials,Building Materials
CXAI,Technology,Software - Application
CXDO,Communication Services,Telecom Services
CXE,Financial Services,Asset Management
CXH,Financial Services,Asset Management
CXM,Technology,Software - Application
CXT,Industrials,Specialty Industrial Machinery
CXW,Industrials,Security & Protection Services
CYBN,Healthcare,Biotechnology
CYBR,Technology,Software - Infrastructure
CYCN,Healthcare,Biotechnology
CYCU,Technology,Information Technology Services
CYD,Consumer Cyclical,Auto Manufacturers
CYH,Healthcare,Medical Care Facilities
CYN,Technology,Software - Application
CYRX,Industrials,Integrated Freight & Logistics
CYTK,Healthcare,Biotechnology
CZFS,Financial Services,Banks - Regional
CZNC,Financial Services,Banks - Regional
CZR,Consumer Cyclical,Resorts & Casinos
CZWI,Financial Services,Banks - Regional
D,Utilities,Utilities - Regulated Electric
DAAQ,Financial Services,Shell Companies
DAC,Industrials,Marine Shipping
DAIC,Technology,Information Technology Services
DAIO,Technology,Electronic Components
DAKT,Technology,Electronic Components
DAL,Industrials,Airlines
DALN,Communication Services,Publishing
DAN,Consumer Cyclical,Auto Parts
DAO,Consumer Defensive,Education & Training Services
DAR,Consumer Defensive,Packaged Foods
DARE,Healthcare,Biotechnology
DASH,Consumer Cyclical,Internet Retail
DAVA,Technology,Software - Infrastructure
DAVE,Technology,Software - Application
DAWN,Healthcare,Biotechnology
DAY,Technology,Software - Application
DB,Financial Services,Banks - Regional
DBD,Technology,Software - Application
DBGI,Consumer Cyclical,Apparel Retail
DBI,Consumer Cyclical,Footwear & Accessories
DBL,Financial Services,Asset Management
DBRG,Financial Services,Asset Management
DBVT,Healthcare,Biotechnology
DBX,Technology,Software - Infrastructure
DC,Basic Materials,Gold
DCBO,Technology,Software - Application
DCGO,Healthcare,Medical Care Facilities
DCI,Industrials,Specialty Industrial Machinery
DCO,Industrials,Aerospace & Defense
DCOM,Financial Services,Banks - Regional
DCTH,Healthcare,Medical Devices
DD,Basic Materials,Specialty Chemicals
DDC,Consumer Defensive,Packaged Foods
DDD,Technology,Computer Hardware
DDI,Communication Services,Electronic Gaming & Multimedia
DDL,Consumer Defensive,Grocery Stores
DDOG,Technology,Software - Application
DDS,Consumer Cyclical,Department Stores
DDT,,
DE,Industrials,Farm & Heavy Construction Machinery
DEA,Real Estate,REIT - Office
DEC,Energy,Oil & Gas Integrated
DECK,Consumer Cyclical,Footwear & Accessories
DEFT,Financial Services,Capital Markets
DEI,Real Estate,REIT - Office
DELL,Technology,Computer Hardware
DENN,Consumer Cyclical,Restaurants
DEO,Consumer Defensive,Beverages - Wineries & Distilleries
DERM,Healthcare,Drug Manufacturers - Specialty & Generic
DEVS,Industrials,Pollution & Treatment Controls
DFDV,Technology,Software - Infrastructure
DFH,Consumer Cyclical,Residential Construction
DFIN,Technology,Software - Application
DFLI,Industrials,Electrical Equipment & Parts
DFP,Financial Services,Asset Management
DFSC,Industrials,Aerospace & Defense
DG,Consumer Defensive,Discount Stores
DGICA,Financial Services,Insurance - Property & Casualty
DGII,Technology,Communication Equipment
DGLY,Communication Services,Internet Content & Information
DGNX,Industrials,Consulting Services
DGX,Healthcare,Diagnostics & Research
DGXX,Utilities,Utilities - Independent Power Producers
DH,Healthcare,Health Information Services
DHAI,Healthcare,Medical Devices
DHC,Real Estate,REIT - Healthcare Facilities
DHF,Financial Services,Asset Management
DHI,Consumer Cyclical,Residential Construction
DHIL,Financial Services,Asset Management
DHR,Healthcare,Diagnostics & Research
DHT,Energy,Oil & Gas Midstream
DHX,Technology,Software - Application
DHY,Financial Services,Asset Management
DIAX,Financial Services,Asset Management
DIBS,Consumer Cyclical,Internet Retail
DIN,Consumer Cyclical,Restaurants
DINO,Energy,Oil & Gas Refining & Marketing
DIOD,Technology,Semiconductors
DIS,Communication Services,Entertainment
DIT,Consumer Defensive,Food Distribution
DJCO,Technology,Software - Application
DJT,Communication Services,Internet Content & Information
DK,Energy,Oil & Gas Refining & Marketing
DKI,Communication Services,Electronic Gaming & Multimedia
DKL,Energy,Oil & Gas Refining & Marketing
DKNG,Consumer Cyclical,Gambling
DKS,Consumer Cyclical,Specialty Retail
DLB,Industrials,Specialty Business Services
DLHC,Industrials,Specialty Business Services
DLNG,Energy,Oil & Gas Midstream
DLO,Technology,Software - Infrastructure
DLPN,Communication Services,Advertising Agencies
DLR,Real Estate,REIT - Specialty
DLTH,Consumer Cyclical,Apparel Retail
DLTR,Consumer Defensive,Discount Stores
DLX,Industrials,Conglomerates
DLXY,Energy,Oil & Gas Refining & Marketing
DLY,Financial Services,Asset Management
DMA,Financial Services,Asset Management
DMAA,Financial Services,Shell Companies
DMAC,Healthcare,Biotechnology
DMB,Financial Services,Asset Management
DMLP,Energy,Oil & Gas E&P
DMO,Financial Services,Asset Management
DMRC,Technology,Software - Application
DMYY,Financial Services,Shell Companies
DNA,Healthcare,Biotechnology
DNLI,Healthcare,Biotechnology
DNN,Energy,Uranium
DNOW,Industrials,Industrial Distribution
DNP,Financial Services,Asset Management
DNTH,Healthcare,Biotechnology
DNUT,Consumer Defensive,Grocery Stores
DOC,Real Estate,REIT - Healthcare Facilities
DOCN,Technology,Software - Infrastructure
DOCS,Healthcare,Health Information Services
DOCU,Technology,Software - Application
DOGZ,Consumer Cyclical,Leisure
DOLE,Consumer Defensive,Farm Products
DOMH,Financial Services,Capital Markets
DOMO,Technology,Software - Application
DOOO,Consumer Cyclical,Recreational Vehicles
DORM,Consumer Cyclical,Auto Parts
DOUG,Real Estate,Real Estate Services
DOV,Industrials,Specialty Industrial Machinery
DOW,Basic Materials,Chemicals
DOX,Technology,Software - Infrastructure
DOYU,Communication Services,Internet Content & Information
DPG,Financial Services,Asset Management
DPRO,Industrials,Aerospace & Defense
DPZ,Consumer Cyclical,Restaurants
DQ,Technology,Semiconductor Equipment & Materials
DRCT,Communication Services,Advertising Agencies
DRD,Basic Materials,Gold
DRDB,Financial Services,Shell Companies
DRH,Real Estate,REIT - Hotel & Motel
DRI,Consumer Cyclical,Restaurants
DRIO,Healthcare,Health Information Services
DRMA,Healthcare,Biotechnology
DRS,Industrials,Aerospace & Defense
DRTS,Healthcare,Biotechnology
DRUG,Healthcare,Biotechnology
DRVN,Consumer Cyclical,Auto & Truck Dealerships
DSGN,Healthcare,Biotechnology
DSGR,Industrials,Industrial Distribution
DSGX,Technology,Software - Application
DSL,Financial Services,Asset Management
DSM,Financial Services,Asset Management
DSP,Technology,Software - Application
DSS,Consumer Cyclical,Packaging & Containers
DSU,Financial Services,Asset Management
DSWL,Technology,Electronic Components
DSX,Industrials,Marine Shipping
DSY,Consumer Defensive,Household & Personal Products
DT,Technology,Software - Application
DTCK,Consumer Defensive,Farm Products
DTE,Utilities,Utilities - Regulated Electric
DTF,Financial Services,Asset Management
DTI,Energy,Oil & Gas Equipment & Services
DTIL,Healthcare,Biotechnology
DTM,Energy,Oil & Gas Midstream
DTSQ,Financial Services,Shell Companies
DTSS,Technology,Software - Infrastructure
DTST,Technology,Information Technology Services
DUK,Utilities,Utilities - Regulated Electric
DUO,Real Estate,Real Estate Services
DUOL,Technology,Software - Application
DUOT,Technology,Software - Application
DV,Technology,Software - Application
DVA,Healthcare,Medical Care Facilities
DVAX,Healthcare,Drug Manufacturers - Specialty & Generic
DVLT,Technology,Software - Infrastructure
DVN,Energy,Oil & Gas E&P
DVS,Basic Materials,Silver
DWSN,Energy,Oil & Gas Equipment & Services
DWTX,Healthcare,Biotechnology
DX,Real Estate,REIT - Mortgage
DXC,Technology,Information Technology Services
DXCM,Healthcare,Medical Devices
DXF,Financial Services,Credit Services
DXLG,Consumer Cyclical,Apparel Retail
DXPE,Industrials,Industrial Distribution
DXR,Healthcare,Medical Instruments & Supplies
DXST,Industrials,Waste Management
DXYZ,Financial Services,Asset Management
DY,Industrials,Engineering & Construction
DYAI,Healthcare,Biotechnology
DYCQ,Financial Services,Shell Companies
DYN,Healthcare,Biotechnology
E,Energy,Oil & Gas Integrated
EA,Communication Services,Electronic Gaming & Multimedia
EAD,Financial Services,Asset Management
EAF,Industrials,Electrical Equipment & Parts
EARN,Financial Services,Asset Management
EAT,Consumer Cyclical,Restaurants
EB,Communication Services,Internet Content & Information
EBAY,Consumer Cyclical,Internet Retail
EBC,Financial Services,Banks - Regional
EBF,Industrials,Business Equipment & Supplies
EBMT,Financial Services,Banks - Regional
EBON,Technology,Computer Hardware
EBR,Utilities,Utilities - Renewable
EBS,Healthcare,Drug Manufacturers - Specialty & Generic
EC,Energy,Oil & Gas Integrated
ECAT,Financial Services,Asset Management
ECBK,Financial Services,Banks - Regional
ECC,Financial Services,Asset Management
ECDA,Consumer Cyclical,Auto Manufacturers
ECF,Financial Services,Asset Management
ECG,Industrials,Engineering & Construction
ECL,Basic Materials,Specialty Chemicals
ECO,Industrials,Marine Shipping
ECOR,Healthcare,Medical Devices
ECPG,Financial Services,Credit Services
ECVT,Basic Materials,Specialty Chemicals
ECX,Consumer Cyclical,Auto Parts
ED,Utilities,Utilities - Regulated Electric
EDAP,Healthcare,Medical Distribution
EDBL,Consumer Defensive,Farm Products
EDD,Financial Services,Asset Management
EDF,Financial Services,Asset Management
EDHL,Communication Services,Advertising Agencies
EDIT,Healthcare,Biotechnology
EDN,Utilities,Utilities - Regulated Electric
EDRY,Industrials,Marine Shipping
EDSA,Healthcare,Biotechnology
EDTK,Consumer Defensive,Education & Training Services
EDU,Consumer Defensive,Education & Training Services
EDUC,Communication Services,Publishing
EE,Energy,Oil & Gas Midstream
EEA,Financial Services,Asset Management
EEFT,Technology,Software - Infrastructure
EEIQ,Consumer Defensive,Education & Training Services
EEX,Communication Services,Advertising Agencies
EFC,Real Estate,REIT - Mortgage
EFOI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
EFR,Financial Services,Asset Management
EFSC,Financial Services,Banks - Regional
EFSI,Financial Services,Banks - Regional
EFT,Financial Services,Asset Management
EFTY,,
EFX,Industrials,Consulting Services
EFXT,Energy,Oil & Gas Equipment & Services
EG,Financial Services,Insurance - Reinsurance
EGAN,Technology,Software - Application
EGBN,Financial Services,Banks - Regional
EGG,Industrials,Consulting Services
EGHA,Financial Services,Shell Companies
EGHT,Technology,Software - Application
EGO,Basic Materials,Gold
EGP,Real Estate,REIT - Industrial
EGY,Energy,Oil & Gas E&P
EH,Industrials,Aerospace & Defense
EHAB,Healthcare,Medical Care Facilities
EHC,Healthcare,Medical Care Facilities
EHGO,Industrials,Business Equipment & Supplies
EHI,Financial Services,Asset Management
EHLD,Industrials,Marine Shipping
EHTH,Financial Services,Insurance Brokers
EIC,Financial Services,Asset Management
EIG,Financial Services,Insurance - Specialty
EIM,Financial Services,Asset Management
EIX,Utilities,Utilities - Regulated Electric
EJH,Consumer Cyclical,Personal Services
EKSO,Healthcare,Medical Instruments & Supplies
EL,Consumer Defensive,Household & Personal Products
ELA,Consumer Cyclical,Luxury Goods
ELAB,Healthcare,Biotechnology
ELAN,Healthcare,Drug Manufacturers - Specialty & Generic
ELBM,Basic Materials,Other Industrial Metals & Mining
ELDN,Healthcare,Biotechnology
ELF,Consumer Defensive,Household & Personal Products
ELLO,Utilities,Utilities - Renewable
ELMD,Healthcare,Medical Devices
ELME,Real Estate,REIT - Residential
ELOG,Industrials,Integrated Freight & Logistics
ELP,Utilities,Utilities - Regulated Electric
ELPC,Utilities,Utilities - Regulated Electric
ELPW,Industrials,Electrical Equipment & Parts
ELS,Real Estate,REIT - Residential
ELSE,Technology,Scientific & Technical Instruments
ELTK,Technology,Electronic Components
ELTX,Healthcare,Biotechnology
ELUT,Healthcare,Medical Devices
ELV,Healthcare,Healthcare Plans
ELVA,Industrials,Electrical Equipment & Parts
ELVN,Healthcare,Biotechnology
ELVR,Basic Materials,Other Industrial Metals & Mining
ELWS,Technology,Software - Application
EM,Consumer Cyclical,Personal Services
EMA,Utilities,Utilities - Regulated Electric
EMBC,Healthcare,Medical Instruments & Supplies
EMD,Financial Services,Asset Management
EME,Industrials,Engineering & Construction
EMF,Financial Services,Asset Management
EML,Industrials,Tools & Accessories
EMN,Basic Materials,Specialty Chemicals
EMO,Financial Services,Asset Management
EMPD,Consumer Cyclical,Auto Manufacturers
EMPG,Healthcare,Medical Distribution
EMR,Industrials,Specialty Industrial Machinery
EMX,Basic Materials,Other Industrial Metals & Mining
ENB,Energy,Oil & Gas Midstream
ENFY,Basic Materials,Agricultural Inputs
ENGN,Healthcare,Biotechnology
ENGS,Industrials,Waste Management
ENIC,Utilities,Utilities - Regulated Electric
ENLT,Utilities,Utilities - Renewable
ENLV,Healthcare,Biotechnology
ENOV,Healthcare,Medical Devices
ENPH,Technology,Solar
ENR,Industrials,Electrical Equipment & Parts
ENS,Industrials,Electrical Equipment & Parts
ENSC,Healthcare,Biotechnology
ENSG,Healthcare,Medical Care Facilities
ENTA,Healthcare,Biotechnology
ENTG,Technology,Semiconductor Equipment & Materials
ENTO,Healthcare,Biotechnology
ENTX,Healthcare,Biotechnology
ENVA,Financial Services,Credit Services
ENVB,Healthcare,Biotechnology
ENVX,Industrials,Electrical Equipment & Parts
ENX,Financial Services,Asset Management
EOD,Financial Services,Asset Management
EOG,Energy,Oil & Gas E&P
EOI,Financial Services,Asset Management
EOLS,Healthcare,Drug Manufacturers - Specialty & Generic
EONR,Energy,Oil & Gas E&P
EOS,Financial Services,Asset Management
EOSE,Industrials,Electrical Equipment & Parts
EOT,Financial Services,Asset Management
EP,Energy,Oil & Gas E&P
EPAC,Industrials,Specialty Industrial Machinery
EPAM,Technology,Information Technology Services
EPC,Consumer Defensive,Household & Personal Products
EPD,Energy,Oil & Gas Midstream
EPIX,Healthcare,Biotechnology
EPM,Energy,Oil & Gas E&P
EPOW,Industrials,Electrical Equipment & Parts
EPR,Real Estate,REIT - Specialty
EPRT,Real Estate,REIT - Retail
EPRX,Healthcare,Biotechnology
EPSM,Consumer Defensive,Beverages - Wineries & Distilleries
EPSN,Energy,Oil & Gas E&P
EPWK,Technology,Software - Application
EQ,Healthcare,Biotechnology
EQBK,Financial Services,Banks - Regional
EQH,Financial Services,Asset Management
EQIX,Real Estate,REIT - Specialty
EQNR,Energy,Oil & Gas Integrated
EQR,Real Estate,REIT - Residential
EQS,Financial Services,Asset Management
EQT,Energy,Oil & Gas E&P
EQV,Financial Services,Shell Companies
EQX,Basic Materials,Gold
ERAS,Healthcare,Biotechnology
ERC,Financial Services,Asset Management
ERH,Financial Services,Asset Management
ERIC,Technology,Communication Equipment
ERIE,Financial Services,Insurance Brokers
ERII,Industrials,Pollution & Treatment Controls
ERJ,Industrials,Aerospace & Defense
ERNA,Healthcare,Biotechnology
ERO,Basic Materials,Copper
ES,Utilities,Utilities - Regulated Electric
ESAB,Industrials,Metal Fabrication
ESCA,Consumer Cyclical,Leisure
ESE,Technology,Scientific & Technical Instruments
ESEA,Industrials,Marine Shipping
ESGL,Industrials,Waste Management
ESHA,Financial Services,Shell Companies
ESI,Basic Materials,Specialty Chemicals
ESLA,Healthcare,Biotechnology
ESLT,Industrials,Aerospace & Defense
ESNT,Financial Services,Insurance - Specialty
ESOA,Industrials,Engineering & Construction
ESP,Industrials,Electrical Equipment & Parts
ESPR,Healthcare,Drug Manufacturers - Specialty & Generic
ESQ,Financial Services,Banks - Regional
ESRT,Real Estate,REIT - Diversified
ESS,Real Estate,REIT - Residential
ESTA,Healthcare,Medical Devices
ESTC,Technology,Software - Application
ET,Energy,Oil & Gas Midstream
ETB,Financial Services,Asset Management
ETD,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
ETG,Financial Services,Asset Management
ETHA,,
ETHM,Financial Services,Shell Companies
ETHZ,Healthcare,Biotechnology
ETJ,Financial Services,Asset Management
ETN,Industrials,Specialty Industrial Machinery
ETNB,Healthcare,Biotechnology
ETO,Financial Services,Asset Management
ETON,Healthcare,Drug Manufacturers - Specialty & Generic
ETOR,Financial Services,Capital Markets
ETR,Utilities,Utilities - Regulated Electric
ETS,Industrials,Trucking
ETSY,Consumer Cyclical,Internet Retail
ETV,Financial Services,Asset Management
ETW,Financial Services,Asset Management
ETX,Financial Services,Asset Management
ETY,Financial Services,Asset Management
EU,Energy,Uranium
EUDA,Real Estate,Real Estate Services
EURK,Financial Services,Shell Companies
EVAC,Financial Services,Shell Companies
EVAX,Healthcare,Biotechnology
EVC,Communication Services,Advertising Agencies
EVCM,Technology,Software - Infrastructure
EVER,Communication Services,Internet Content & Information
EVEX,Industrials,Aerospace & Defense
EVF,Financial Services,Asset Management
EVG,Financial Services,Asset Management
EVGN,Healthcare,Biotechnology
EVGO,Consumer Cyclical,Specialty Retail
EVH,Healthcare,Health Information Services
EVI,Industrials,Industrial Distribution
EVLV,Industrials,Security & Protection Services
EVM,Financial Services,Asset Management
EVN,Financial Services,Asset Management
EVO,Healthcare,Drug Manufacturers - Specialty & Generic
EVOK,Healthcare,Drug Manufacturers - Specialty & Generic
EVR,Financial Services,Capital Markets
EVRG,Utilities,Utilities - Regulated Electric
EVT,Financial Services,Asset Management
EVTC,Technology,Software - Infrastructure
EVTL,Industrials,Aerospace & Defense
EVTV,Consumer Cyclical,Auto Manufacturers
EVV,Financial Services,Asset Management
EW,Healthcare,Medical Devices
EWBC,Financial Services,Banks - Regional
EWCZ,Consumer Defensive,Household & Personal Products
EWTX,Healthcare,Biotechnology
EXAS,Healthcare,Diagnostics & Research
EXC,Utilities,Utilities - Regulated Electric
EXE,Energy,Oil & Gas E&P
EXEL,Healthcare,Biotechnology
EXFY,Technology,Software - Application
EXG,Financial Services,Asset Management
EXK,Basic Materials,Silver
EXLS,Technology,Information Technology Services
EXOD,Technology,Software - Infrastructure
EXOZ,Healthcare,Biotechnology
EXP,Basic Materials,Building Materials
EXPD,Industrials,Integrated Freight & Logistics
EXPE,Consumer Cyclical,Travel Services
EXPI,Real Estate,Real Estate Services
EXPO,Industrials,Engineering & Construction
EXR,Real Estate,REIT - Industrial
EXTR,Technology,Communication Equipment
EYE,Consumer Cyclical,Specialty Retail
EYPT,Healthcare,Biotechnology
EZGO,Consumer Cyclical,Recreational Vehicles
EZPW,Financial Services,Credit Services
F,Consumer Cyclical,Auto Manufacturers
FA,Industrials,Specialty Business Services
FAAS,Technology,Software - Infrastructure
FACT,,
FAF,Financial Services,Insurance - Specialty
FAMI,Consumer Defensive,Packaged Foods
FANG,Energy,Oil & Gas E&P
FARM,Consumer Defensive,Packaged Foods
FAST,Industrials,Industrial Distribution
FAT,Consumer Cyclical,Restaurants
FATE,Healthcare,Biotechnology
FATN,Technology,Software - Infrastructure
FAX,Financial Services,Asset Management
FBGL,Industrials,Engineering & Construction
FBIN,Industrials,Building Products & Equipment
FBIO,Healthcare,Biotechnology
FBIZ,Financial Services,Banks - Regional
FBK,Financial Services,Banks - Regional
FBLA,Financial Services,Banks - Regional
FBLG,Healthcare,Biotechnology
FBNC,Financial Services,Banks - Regional
FBP,Financial Services,Banks - Regional
FBRT,Real Estate,REIT - Mortgage
FBRX,Healthcare,Biotechnology
FBYD,Industrials,Conglomerates
FC,Consumer Defensive,Education & Training Services
FCAP,Financial Services,Banks - Regional
FCBC,Financial Services,Banks - Regional
FCCO,Financial Services,Banks - Regional
FCEL,Industrials,Electrical Equipment & Parts
FCF,Financial Services,Banks - Regional
FCFS,Financial Services,Credit Services
FCHL,Consumer Defensive,Education & Training Services
FCN,Industrials,Consulting Services
FCNCA,Financial Services,Banks - Regional
FCO,Financial Services,Asset Management
FCPT,Real Estate,REIT - Retail
FCT,Financial Services,Asset Management
FCUV,Technology,Scientific & Technical Instruments
FCX,Basic Materials,Copper
FDBC,Financial Services,Banks - Regional
FDMT,Healthcare,Biotechnology
FDP,Consumer Defensive,Farm Products
FDS,Financial Services,Financial Data & Stock Exchanges
FDSB,Financial Services,Banks - Regional
FDUS,Financial Services,Asset Management
FDX,Industrials,Integrated Freight & Logistics
FE,Utilities,Utilities - Regulated Electric
FEAM,Basic Materials,Specialty Chemicals
FEBO,Technology,Consumer Electronics
FEDU,Consumer Defensive,Education & Training Services
FEIM,Technology,Communication Equipment
FELE,Industrials,Specialty Industrial Machinery
FEMY,Healthcare,Medical Instruments & Supplies
FENC,Healthcare,Biotechnology
FENG,Communication Services,Internet Content & Information
FER,Industrials,Engineering & Construction
FERA,Financial Services,Shell Companies
FERG,Industrials,Industrial Distribution
FET,Energy,Oil & Gas Equipment & Services
FF,Basic Materials,Specialty Chemicals
FFA,Financial Services,Asset Management
FFAI,Consumer Cyclical,Auto Manufacturers
FFBC,Financial Services,Banks - Regional
FFC,Financial Services,Asset Management
FFIC,Financial Services,Banks - Regional
FFIN,Financial Services,Banks - Regional
FFIV,Technology,Software - Infrastructure
FFWM,Financial Services,Banks - Regional
FG,Financial Services,Insurance - Life
FGBI,Financial Services,Banks - Regional
FGEN,Healthcare,Biotechnology
FGI,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FGL,Industrials,Engineering & Construction
FGMC,Financial Services,Shell Companies
FGNX,Financial Services,Asset Management
FHB,Financial Services,Banks - Regional
FHI,Financial Services,Asset Management
FHN,Financial Services,Banks - Regional
FHTX,Healthcare,Biotechnology
FI,Technology,Information Technology Services
FIBK,Financial Services,Banks - Regional
FICO,Technology,Software - Application
FIEE,Technology,Communication Equipment
FIG,Technology,Software - Application
FIGR,Financial Services,Capital Markets
FIGS,Consumer Cyclical,Apparel Manufacturing
FIGX,,
FIHL,Financial Services,Insurance - Diversified
FINS,Financial Services,Asset Management
FINV,Financial Services,Credit Services
FINW,Financial Services,Banks - Regional
FIP,Industrials,Conglomerates
FIS,Technology,Information Technology Services
FISI,Financial Services,Banks - Regional
FITB,Financial Services,Banks - Regional
FIVE,Consumer Cyclical,Specialty Retail
FIVN,Technology,Software - Infrastructure
FIX,Industrials,Engineering & Construction
FIZZ,Consumer Defensive,Beverages - Non-Alcoholic
FKWL,Technology,Communication Equipment
FLC,Financial Services,Asset Management
FLD,Financial Services,Capital Markets
FLEX,Technology,Electronic Components
FLG,Financial Services,Banks - Regional
FLGC,Healthcare,Drug Manufacturers - Specialty & Generic
FLGT,Healthcare,Diagnostics & Research
FLL,Consumer Cyclical,Resorts & Casinos
FLNC,Utilities,Utilities - Renewable
FLNG,Energy,Oil & Gas Midstream
FLNT,Communication Services,Advertising Agencies
FLO,Consumer Defensive,Packaged Foods
FLOC,Energy,Oil & Gas Equipment & Services
FLR,Industrials,Engineering & Construction
FLS,Industrials,Specialty Industrial Machinery
FLUT,Consumer Cyclical,Gambling
FLUX,Industrials,Electrical Equipment & Parts
FLWS,Consumer Cyclical,Specialty Retail
FLX,Industrials,Integrated Freight & Logistics
FLXS,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
FLY,Industrials,Aerospace & Defense
FLYE,Consumer Cyclical,Auto Manufacturers
FLYW,Technology,Software - Infrastructure
FLYX,Industrials,Airlines
FMAO,Financial Services,Banks - Regional
FMBH,Financial Services,Banks - Regional
FMC,Basic Materials,Agricultural Inputs
FMFC,Consumer Cyclical,Footwear & Accessories
FMN,Financial Services,Asset Management
FMNB,Financial Services,Banks - Regional
FMS,Healthcare,Medical Care Facilities
FMST,Basic Materials,Other Industrial Metals & Mining
FMX,Consumer Defensive,Beverages - Brewers
FMY,Financial Services,Asset Management
FN,Technology,Electronic Components
FNB,Financial Services,Banks - Regional
FND,Consumer Cyclical,Home Improvement Retail
FNF,Financial Services,Insurance - Specialty
FNGR,Communication Services,Telecom Services
FNKO,Consumer Cyclical,Leisure
FNLC,Financial Services,Banks - Regional
FNV,Basic Materials,Gold
FNWB,Financial Services,Banks - Regional
FNWD,Financial Services,Banks - Regional
FOA,Financial Services,Credit Services
FOF,Financial Services,Asset Management
FOFO,,
FOLD,Healthcare,Biotechnology
FONR,Healthcare,Diagnostics & Research
FOR,Real Estate,Real Estate - Development
FORA,Healthcare,Health Information Services
FORD,Consumer Cyclical,Footwear & Accessories
FORL,Financial Services,Shell Companies
FORM,Technology,Semiconductor Equipment & Materials
FORR,Industrials,Consulting Services
FORTY,Technology,Information Technology Services
FOSL,Consumer Cyclical,Footwear & Accessories
FOUR,Technology,Software - Infrastructure
FOX,Communication Services,Entertainment
FOXF,Consumer Cyclical,Auto Parts
FOXX,Technology,Consumer Electronics
FPAY,Industrials,Rental & Leasing Services
FPF,Financial Services,Asset Management
FPH,Real Estate,Real Estate - Development
FPI,Real Estate,REIT - Specialty
FR,Real Estate,REIT - Industrial
FRA,Financial Services,Asset Management
FRAF,Financial Services,Banks - Regional
FRBA,Financial Services,Banks - Regional
FRD,Basic Materials,Steel
FRGE,Financial Services,Capital Markets
FRGT,Technology,Software - Application
FRHC,Financial Services,Financial Conglomerates
FRME,Financial Services,Banks - Regional
FRO,Energy,Oil & Gas Midstream
FROG,Technology,Software - Application
FRPH,Real Estate,Real Estate Services
FRPT,Consumer Defensive,Packaged Foods
FRSH,Technology,Software - Application
FRST,Financial Services,Banks - Regional
FRSX,Consumer Cyclical,Auto Parts
FRT,Real Estate,REIT - Retail
FSBC,Financial Services,Banks - Regional
FSBW,Financial Services,Banks - Regional
FSCO,Financial Services,Asset Management
FSEA,Financial Services,Banks - Regional
FSFG,Financial Services,Banks - Regional
FSHP,Financial Services,Shell Companies
FSI,Basic Materials,Specialty Chemicals
FSK,Financial Services,Asset Management
FSLR,Technology,Solar
FSLY,Technology,Software - Application
FSM,Basic Materials,Gold
FSP,Real Estate,REIT - Office
FSS,Industrials,Pollution & Treatment Controls
FSTR,Industrials,Railroads
FSUN,Financial Services,Banks - Regional
FSV,Real Estate,Real Estate Services
FT,Financial Services,Asset Management
FTAI,Industrials,Rental & Leasing Services
FTCI,Technology,Solar
FTDR,Consumer Cyclical,Personal Services
FTEK,Industrials,Pollution & Treatment Controls
FTEL,Consumer Cyclical,Specialty Retail
FTF,Financial Services,Asset Management
FTFT,Technology,Software - Application
FTHM,Real Estate,Real Estate Services
FTHY,Financial Services,Asset Management
FTI,Energy,Oil & Gas Equipment & Services
FTK,Energy,Oil & Gas Equipment & Services
FTLF,Consumer Defensive,Packaged Foods
FTNT,Technology,Software - Infrastructure
FTRE,Healthcare,Biotechnology
FTRK,Communication Services,Entertainment
FTS,Utilities,Utilities - Regulated Electric
FTV,Technology,Scientific & Technical Instruments
FUBO,Communication Services,Broadcasting
FUFU,Financial Services,Capital Markets
FUL,Basic Materials,Specialty Chemicals
FULC,Healthcare,Biotechnology
FULT,Financial Services,Banks - Regional
FUN,Consumer Cyclical,Leisure
FUNC,Financial Services,Banks - Regional
FUND,Financial Services,Asset Management
FURY,Basic Materials,Other Industrial Metals & Mining
FUSB,Financial Services,Banks - Regional
FUTU,Financial Services,Capital Markets
FVCB,Financial Services,Banks - Regional
FVN,Financial Services,Shell Companies
FVR,Real Estate,REIT - Diversified
FVRR,Communication Services,Internet Content & Information
FWONA,Communication Services,Entertainment
FWRD,Industrials,Integrated Freight & Logistics
FWRG,Consumer Cyclical,Restaurants
FXNC,Financial Services,Banks - Regional
FYBR,Communication Services,Telecom Services
G,Technology,Information Technology Services
GAB,Financial Services,Asset Management
GABC,Financial Services,Banks - Regional
GAIA,Communication Services,Entertainment
GAIN,Financial Services,Asset Management
GALT,Healthcare,Biotechnology
GAM,Financial Services,Asset Management
GAMB,Consumer Cyclical,Gambling
GAME,Communication Services,Electronic Gaming & Multimedia
GANX,Healthcare,Biotechnology
GAP,Consumer Cyclical,Apparel Retail
GASS,Industrials,Marine Shipping
GATX,Industrials,Rental & Leasing Services
GAU,Basic Materials,Gold
